InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV10773,P8195,Reality Young,18,2025-07-14 16:21:36,76.2,10062.0,Canada
INV10351,P4878,Look Half,19,2024-08-24 13:25:39,8.39,10054.0,Germany
INV10066,P5010,Hard What,6,2024-10-19 00:57:02,14.14,10096.0,United Kingdom
INV10277,P3144,Old Whether,48,2024-09-21 01:48:21,61.24,10006.0,Australia
INV10067,P3677,Talk Option,42,2024-12-01 23:42:34,15.21,10068.0,Netherlands
INV10910,P1251,Organization Sense,12,2023-12-07 18:43:48,89.26,10082.0,Canada
INV10439,P8752,Share Care,44,2024-10-15 10:56:35,41.8,10066.0,Germany
INV10736,P1986,Future Cultural,28,2025-07-01 17:56:46,61.73,10030.0,United Kingdom
INV10296,P3584,To Want,24,2025-02-13 12:47:24,39.71,10055.0,France
INV10620,P5425,Campaign Difficult,5,2024-04-25 10:22:29,1.7,10078.0,France
INV10490,P9540,Girl Learn,5,2024-12-04 22:44:33,56.22,10076.0,USA
INV10819,P5135,Fall Score,34,2024-09-30 03:06:49,6.85,,USA
INV10558,P6355,Stay Treat,26,2025-04-08 00:18:58,51.5,10086.0,Canada
INV10424,P3851,Glass Cover,2,2025-01-26 06:57:04,5.74,10010.0,United Kingdom
INV10924,P8994,Control Item,30,2024-04-08 13:15:49,54.16,10053.0,France
INV10312,P6617,Everybody Friend,18,2024-08-08 01:12:31,57.73,10002.0,Canada
INV10184,P5562,Central Usually,33,2024-05-21 16:39:38,59.76,10038.0,United Kingdom
INV10332,P2232,Trial Maintain,22,2025-05-05 16:48:42,59.83,10048.0,Germany
INV10088,P3287,Out Senior,47,2024-11-22 21:44:19,60.46,10035.0,France
INV10063,P2169,Care Message,40,2023-10-12 14:06:17,34.92,10051.0,Germany
INV10834,P1845,With Story,17,2023-08-16 20:04:54,42.72,10095.0,United Kingdom
INV10576,P1333,Although Something,24,2025-06-11 01:25:03,52.51,10024.0,Canada
INV10215,P5563,Continue Close,49,2023-10-18 10:26:57,28.18,10016.0,USA
INV10615,P8532,Mind Form,14,2024-12-22 11:04:36,63.49,10019.0,Germany
INV10513,P9890,Development Feeling,10,2024-04-08 13:13:26,87.84,10014.0,Canada
INV10290,P3170,Space Shake,48,2024-05-14 02:55:20,94.3,10025.0,United Kingdom
INV10377,P5564,Time Team,18,2024-09-02 17:10:43,79.24,10038.0,France
INV10891,P7274,Cost From,3,2025-05-29 19:53:30,14.61,10060.0,Netherlands
INV10969,P8237,Stock Sea,25,2024-05-04 18:22:14,60.04,10048.0,United Kingdom
INV10946,P3385,Nor Bag,14,2024-06-23 11:46:22,93.01,10010.0,USA
INV10786,P6280,Begin Almost,34,2024-02-22 17:05:42,42.59,10079.0,Australia
INV10425,P5930,Throughout Include,32,2023-10-10 19:49:50,4.76,10078.0,Netherlands
INV10696,P9751,Now Upon,28,2024-09-03 04:01:27,50.23,10049.0,Canada
INV10995,P4115,Officer Phone,26,2025-04-27 05:47:00,40.54,10099.0,France
INV10309,P5462,Daughter Cell,29,2024-08-07 19:35:52,16.23,10040.0,Canada
INV10086,P3340,Consumer Guy,45,2024-04-12 08:24:58,79.76,10037.0,USA
INV10731,P8381,Week Person,16,2024-03-27 06:28:22,89.8,10037.0,USA
INV10755,P5632,Appear Garden,48,2024-07-05 13:24:50,13.12,10094.0,United Kingdom
INV10310,P5616,Event Southern,18,2024-06-19 11:09:41,23.14,10044.0,France
INV10538,P6507,Impact Foot,3,2023-11-03 02:05:10,68.16,10002.0,Netherlands
INV10136,P6310,Lose Under,47,2025-02-18 09:12:05,53.14,10087.0,France
INV10958,P4804,Turn Window,15,2024-04-18 23:34:46,86.43,10005.0,Netherlands
INV10999,P1645,Shoulder Similar,37,2023-11-18 16:34:04,47.19,10098.0,USA
INV10728,P4697,As Point,12,2023-08-12 18:27:42,31.92,10094.0,USA
INV10261,P2113,Range Bit,39,2025-03-30 18:24:28,1.12,10076.0,Australia
INV10547,P2375,Pick Night,12,2023-10-31 04:09:05,22.5,10028.0,Netherlands
INV10168,P4681,Hard Risk,22,2023-08-28 06:22:21,86.08,10024.0,Canada
INV10790,P4750,Conference Bring,21,2024-07-17 01:17:10,61.76,10043.0,USA
INV10448,P4680,Many Baby,47,2023-10-21 13:24:43,23.56,,Australia
INV10139,P2832,Size New,1,2024-09-28 09:54:15,40.04,10078.0,Australia
INV10685,P5530,Federal Color,13,2025-04-23 07:25:08,22.39,,USA
INV10666,P9698,Decade Economic,22,2024-09-03 18:01:26,19.12,10087.0,United Kingdom
INV10857,P9337,Table Artist,24,2025-01-14 11:54:48,82.63,10030.0,Germany
INV10518,P7883,Class Successful,45,2024-01-23 10:41:45,74.43,10058.0,Netherlands
INV10678,P6169,Should Machine,27,2025-07-21 02:42:16,55.34,10093.0,Australia
INV10533,P5471,Identify East,33,2025-04-15 09:15:55,84.16,10031.0,United Kingdom
INV10055,P5554,Feeling Share,44,2025-03-04 09:33:38,48.51,10040.0,Netherlands
INV10120,P8433,Nature News,12,2025-02-27 23:54:57,60.05,10036.0,USA
INV10530,P4613,Quickly Responsibility,12,2023-08-25 19:41:01,54.33,10048.0,Australia
INV10025,P7924,Maintain Some,12,2023-11-22 01:33:33,67.27,10082.0,France
INV10072,P6313,Support Might,44,2024-10-07 06:59:33,73.35,10074.0,Canada
INV10044,P5803,Sport Now,4,2025-04-19 12:44:34,13.17,10027.0,USA
INV10249,P6138,Head Discuss,20,2023-12-21 06:36:03,99.55,10073.0,United Kingdom
INV10404,P9518,Many Suffer,26,2024-12-26 11:36:37,11.11,10061.0,Australia
INV10847,P1224,Itself Play,38,2023-10-14 00:51:54,53.73,10075.0,Germany
INV10703,P9042,Mind Himself,45,2024-06-28 21:52:08,13.5,10002.0,USA
INV10918,P7512,Tv Truth,27,2025-08-11 15:58:01,47.82,10051.0,Netherlands
INV10198,P7939,Use Exist,44,2024-08-28 12:57:07,76.9,10080.0,Germany
INV10542,P3091,It Over,10,2024-05-26 22:17:00,50.7,10009.0,USA
INV10355,P1406,Figure Word,17,2025-04-10 05:21:41,69.47,10074.0,Netherlands
INV10323,P1058,Wrong Staff,48,2025-01-19 04:13:11,82.69,10007.0,USA
INV10649,P2402,Reflect Five,46,2023-12-25 10:42:54,73.51,10089.0,United Kingdom
INV10916,P5342,Mean Home,26,2024-01-04 09:23:05,47.49,10052.0,France
INV10235,P1035,Pm Know,24,2023-09-18 11:50:24,44.8,10038.0,Germany
INV10580,P8758,Series Prepare,48,2025-01-26 22:33:52,24.35,10010.0,Germany
INV10949,P7751,Congress Friend,47,2024-02-26 04:07:19,73.26,10016.0,Canada
INV10943,P6873,Support Although,2,2025-02-15 11:20:07,67.87,10064.0,Canada
INV10907,P2633,How Single,1,2025-07-23 00:13:57,98.4,10054.0,Canada
INV10299,P5956,National Receive,8,2025-07-03 06:11:19,54.43,10085.0,USA
INV10060,P6820,Type Whole,17,2025-07-12 02:56:58,58.43,10038.0,United Kingdom
INV10327,P3647,Image Southern,3,2025-07-27 22:41:50,51.1,10056.0,Germany
INV10931,P2480,Question Continue,8,2024-10-17 22:42:26,44.42,10008.0,Canada
INV10601,P1672,Friend Candidate,48,2024-01-06 04:29:35,59.0,10063.0,Australia
INV10447,P6085,Public South,30,2023-10-21 04:10:56,78.47,10095.0,Canada
INV10829,P4073,Drug Green,1,2025-03-15 07:35:34,13.76,10027.0,USA
INV10650,P4954,Mission Now,13,2023-11-01 15:10:04,55.28,10029.0,France
INV10598,P2669,Open Art,17,2023-10-16 12:08:26,97.99,10021.0,Netherlands
INV10544,P1441,Speak If,44,2025-06-13 20:10:44,39.15,10024.0,France
INV10784,P1653,School Page,13,2024-12-13 17:19:24,9.63,10081.0,Australia
INV10305,P5333,Blue Stuff,48,2025-05-01 10:55:10,21.99,10028.0,USA
INV10318,P1832,Condition Order,33,2025-03-31 12:30:17,14.78,10017.0,France
INV10760,P4241,Rule Member,6,2025-04-13 06:17:18,65.96,10097.0,Canada
INV10494,P8206,Concern Show,46,2024-10-24 05:46:47,75.57,10074.0,USA
INV10265,P5033,Room Specific,11,2025-05-15 23:02:50,38.87,10060.0,Germany
INV10110,P5119,American Seem,35,2024-11-21 16:16:15,87.02,10081.0,Australia
INV10693,P3939,Surface Write,1,2025-01-01 00:10:03,36.24,10057.0,France
INV10944,P7141,Cause Represent,45,2024-06-07 08:24:00,5.44,10041.0,Canada
INV10527,P7865,Part From,27,2025-05-23 07:36:42,61.88,10030.0,Canada
INV10256,P1931,Level Play,32,2024-12-05 14:31:53,75.73,10012.0,USA
INV10260,P2122,Gas But,40,2024-09-17 00:47:57,82.36,10047.0,USA
INV10634,P6511,Down Gas,5,2024-07-28 15:38:14,97.51,10036.0,United Kingdom
INV10823,P9431,Lay Change,39,2025-05-28 05:06:14,1.02,10062.0,Netherlands
INV10429,P5978,Growth Check,22,2024-07-09 10:02:48,11.43,10001.0,France
INV10630,P8385,Spring Wrong,42,2024-07-17 01:21:14,4.59,10093.0,USA
INV10380,P6753,Wear Need,31,2024-12-06 14:17:17,19.78,10080.0,United Kingdom
INV10433,P6279,Suggest Difference,6,2025-04-05 19:33:10,46.73,10022.0,Netherlands
INV10734,P8025,Same Quality,12,2024-02-08 02:11:13,56.22,10021.0,Australia
INV10137,P9005,Only Loss,14,2025-06-26 22:28:20,25.36,,USA
INV10357,P6442,Yeah Claim,28,2024-11-07 12:41:18,63.69,,Australia
INV10528,P9818,Affect Treat,20,2024-05-19 22:49:21,69.1,10077.0,Netherlands
INV10221,P1828,Real Lawyer,32,2024-02-18 02:31:10,2.57,10021.0,France
INV10756,P8438,Great Campaign,29,2025-06-09 05:42:01,72.79,10056.0,Netherlands
INV10596,P2245,Run Ready,41,2024-12-24 10:06:48,21.09,10053.0,United Kingdom
INV10559,P6529,Southern Everyone,10,2025-07-17 17:04:58,72.62,10023.0,Australia
INV10363,P7267,So Resource,41,2024-11-13 13:47:14,84.95,10008.0,United Kingdom
INV10525,P5892,Record President,28,2023-10-05 15:30:41,74.49,10085.0,Germany
INV10208,P4139,Far Thousand,39,2025-01-07 09:07:55,23.79,10036.0,France
INV10411,P6143,Address Simply,36,2024-02-27 14:49:25,26.05,10053.0,France
INV10334,P9938,Administration Without,46,2024-09-16 10:17:37,87.73,10081.0,Netherlands
INV10210,P9786,Stock Simply,3,2024-04-22 07:42:47,64.16,10012.0,Australia
INV10350,P3532,Let Guess,48,2023-10-05 07:51:17,17.9,10058.0,USA
INV10078,P5386,Low Million,48,2024-04-09 02:17:11,97.88,10032.0,Australia
INV10029,P4527,Head Great,49,2025-02-01 04:10:15,94.91,10072.0,United Kingdom
INV10280,P6180,Increase Out,1,2024-05-28 23:32:00,7.25,10052.0,United Kingdom
INV10585,P7043,Although Certain,32,2025-03-03 06:37:33,73.63,10053.0,Netherlands
INV10752,P1534,Herself Charge,20,2025-06-30 22:01:08,32.65,10016.0,USA
INV10780,P9847,Last Very,25,2025-05-27 16:16:23,88.1,10019.0,Australia
INV10289,P5345,Commercial Phone,19,2023-12-12 10:47:16,28.69,10031.0,USA
INV10165,P8397,They Return,13,2025-02-26 09:03:02,82.49,10026.0,United Kingdom
INV10605,P7071,Later Support,19,2025-05-12 16:35:27,78.48,10014.0,Netherlands
INV10874,P5377,Vote Under,2,2023-09-14 19:14:15,79.13,10076.0,Netherlands
INV10720,P1878,Keep School,14,2024-04-10 02:19:45,10.25,,Germany
INV10065,P9751,Seat Five,2,2025-02-20 12:57:17,13.45,10062.0,USA
INV10141,P6038,Bit Reduce,26,2024-03-10 04:16:10,74.94,10054.0,USA
INV10275,P5351,Ask Collection,16,2023-11-04 18:30:15,79.0,10048.0,Germany
INV10835,P4335,Fine Region,48,2025-03-07 11:04:24,3.69,10037.0,Canada
INV10655,P9041,Along Discussion,27,2024-06-06 14:24:30,78.98,10045.0,United Kingdom
INV10465,P2746,Your Successful,12,2023-11-06 19:56:11,62.03,10083.0,USA
INV10670,P6764,During Fill,45,2023-08-16 09:04:35,9.8,10083.0,Canada
INV10319,P2512,Painting Head,4,2025-07-20 10:15:47,89.93,10050.0,France
INV10398,P7311,Billion Read,9,2025-05-18 06:05:08,81.26,10002.0,Germany
INV10306,P2891,East Tough,25,2024-02-04 13:29:41,82.05,10082.0,Australia
INV10307,P2753,Indicate Say,35,2025-01-27 01:48:35,32.93,10018.0,USA
INV10828,P1888,Type Accept,12,2025-06-30 02:46:49,38.78,10066.0,Germany
INV10333,P3442,,22,2024-09-30 03:20:47,93.71,10044.0,United Kingdom
INV10049,P4733,Blood They,26,2024-04-29 05:13:27,18.82,10026.0,Australia
INV10825,P9889,Hair Dinner,34,2024-04-06 05:15:46,39.59,10091.0,Canada
INV10002,P5506,Matter Full,15,2024-04-05 18:37:59,41.89,10025.0,Netherlands
INV10548,P8022,Explain Change,31,2024-09-25 10:29:22,14.64,10018.0,France
INV10352,P3662,Manage Order,4,2024-01-18 08:25:14,78.49,10061.0,France
INV10912,P7717,Available Position,46,2025-02-16 02:29:13,4.94,10072.0,Germany
INV10951,P3785,Want Main,46,2025-05-28 09:46:08,67.42,10031.0,Germany
INV10346,P5088,Natural Offer,28,2023-12-03 09:19:25,75.67,10053.0,Netherlands
INV10411,P6143,Address Simply,36,2024-02-27 14:49:25,26.05,10053.0,France
INV10824,P1018,Daughter Hot,26,2023-12-31 09:18:13,17.74,10037.0,Germany
INV10581,P2874,Oil Yes,36,2025-04-22 16:50:27,37.77,10060.0,United Kingdom
INV10033,P7224,Research Manage,16,2023-10-13 06:42:13,60.95,10005.0,Germany
INV10031,P2674,,42,2023-08-29 14:27:36,36.57,10031.0,Netherlands
INV10231,P7570,Herself Improve,4,2024-05-08 15:32:19,40.72,10072.0,Australia
INV10754,P5720,Style Sell,28,2024-05-02 19:52:43,49.05,10094.0,Germany
INV10192,P7669,Cut Easy,8,2024-05-29 13:38:13,26.31,10038.0,Canada
INV10514,P8633,Scientist Smile,19,2024-06-01 23:51:18,43.95,10015.0,Canada
INV10003,P5012,Area Allow,43,2025-03-24 06:32:17,7.84,10088.0,United Kingdom
INV10204,P7596,You Direction,41,2024-03-26 17:06:24,47.82,10056.0,Netherlands
INV10539,P7624,To Arrive,-10,2025-04-09 19:10:14,75.87,10079.0,Australia
INV10662,P4986,Opportunity Off,8,2025-06-04 20:32:02,34.49,10047.0,Netherlands
INV10988,P1132,Around A,49,2024-11-09 12:47:15,83.07,10035.0,Germany
INV10109,P9669,Because Fish,35,2024-02-01 02:22:17,32.4,10008.0,United Kingdom
INV10602,P6688,Measure Race,25,2024-03-02 23:41:17,59.06,10070.0,France
INV10077,P7572,Security Throughout,31,2024-08-04 19:47:57,66.5,10057.0,USA
INV10084,P7482,Stop Very,21,2024-11-06 16:43:54,77.08,10009.0,Canada
INV10526,P7389,Not Easy,32,2024-06-26 17:42:16,81.7,10037.0,Canada
INV10082,P4483,Audience Never,23,2025-01-21 05:53:34,83.26,10093.0,Netherlands
INV10254,P9701,Head Media,19,2024-01-20 00:49:48,96.2,10049.0,Germany
INV10764,P4683,Course Street,25,2025-07-09 02:27:56,3.91,10088.0,Netherlands
INV10428,P1006,Treat Kid,25,2024-09-16 00:57:01,80.41,10089.0,Australia
INV10915,P8692,Usually Product,14,2025-03-10 00:53:04,24.65,10094.0,Canada
INV10523,P1096,Across War,2,2024-10-06 12:58:25,66.1,10047.0,Australia
INV10467,P4585,East Reality,1,2024-05-19 05:01:42,5.33,10032.0,Netherlands
INV10644,P5581,Position Box,10,2024-10-08 17:26:17,35.25,10021.0,United Kingdom
INV10005,P3286,,21,2023-10-28 09:45:13,10.64,10052.0,France
INV10405,P9821,Sister Personal,35,2025-01-06 00:17:39,66.21,10041.0,Australia
INV10468,P3881,At Deep,47,2023-11-14 07:04:34,11.97,10027.0,USA
INV10097,P9348,Fight Strategy,1,2024-05-24 08:46:45,86.78,10007.0,Germany
INV10926,P1588,Admit News,48,2023-10-11 12:16:41,5.9,10043.0,Germany
INV10359,P5065,Hour Mouth,29,2025-05-12 20:01:33,24.03,10029.0,United Kingdom
INV10876,P5634,Lawyer Ground,43,2024-08-20 14:08:34,66.22,10023.0,United Kingdom
INV10266,P1651,Book Red,28,2025-02-01 00:51:15,12.86,10028.0,Netherlands
INV10422,P7888,Recognize Join,28,2025-02-07 08:18:30,98.84,10009.0,France
INV10462,P4997,,26,2023-10-25 20:41:58,49.12,10069.0,Netherlands
INV10695,P1231,Major Statement,13,2025-08-01 12:43:26,79.6,10019.0,Canada
INV10973,P5097,Blood Skin,25,2024-02-18 21:29:54,32.79,10082.0,Australia
INV10493,P5499,Manager Throughout,30,2023-11-12 08:51:02,32.69,10007.0,Netherlands
INV10118,P8123,Information Country,9,2024-02-09 23:54:24,38.66,10039.0,USA
INV10971,P5901,Will Change,13,2024-05-13 17:14:56,90.13,10065.0,France
INV10250,P1936,Those Business,36,2024-07-29 11:43:44,45.19,10039.0,Australia
INV10342,P6974,Head Should,34,2025-03-25 00:50:01,56.88,10092.0,Canada
INV10009,P7912,Center Forget,11,2023-10-01 11:38:57,66.6,10050.0,France
INV10196,P8062,Visit Different,33,2025-03-12 00:01:06,67.47,10041.0,Canada
INV10741,P2330,Important Leg,8,2023-09-11 20:32:33,60.21,10061.0,France
INV10081,P6155,Rise Ability,14,2024-09-05 17:36:26,25.17,10081.0,Canada
INV10948,P9702,Citizen Student,3,2025-04-05 12:08:02,39.6,10094.0,Australia
INV10479,P8251,Interesting Report,22,2024-03-07 09:55:36,2.26,10004.0,USA
INV10625,P5397,Discuss Outside,36,2025-01-16 16:29:35,92.34,10037.0,Canada
INV10239,P5673,Treatment Woman,22,2025-05-12 19:29:01,64.38,10027.0,United Kingdom
INV10292,P2127,Toward Major,3,2024-03-06 05:24:01,17.01,10024.0,Canada
INV10211,P8350,Four Service,49,2023-11-07 17:42:45,26.43,10031.0,United Kingdom
INV10900,P9115,Nice Management,5,2024-05-08 18:39:01,14.04,10093.0,Canada
INV10361,P3608,Push Total,6,2025-08-03 13:36:38,18.2,10061.0,United Kingdom
INV10532,P4595,Upon Result,35,2025-07-17 05:32:22,84.96,10099.0,Netherlands
INV10227,P7658,Energy Cause,26,2023-11-10 12:02:17,77.49,10077.0,Canada
INV10864,P3369,Machine Book,4,2024-02-19 08:59:39,87.85,10041.0,France
INV10362,P2771,Budget People,35,2023-08-24 14:30:18,65.92,10048.0,Germany
INV10852,P8560,However Station,15,2024-07-12 18:12:05,7.77,10068.0,Netherlands
INV10954,P7267,Quality New,45,2025-05-08 12:53:18,30.38,10084.0,Germany
INV10964,P8622,Character Just,17,2024-05-13 12:28:38,26.41,10071.0,Australia
INV10365,P8711,Call Rather,24,2024-05-13 09:13:08,79.42,10030.0,Australia
INV10770,P3718,Environmental Community,5,2025-03-26 04:15:34,30.35,10014.0,Australia
INV10859,P7807,Analysis Recently,30,2024-01-12 10:22:18,23.41,10083.0,Australia
INV10371,P4728,Cut Garden,33,2024-04-18 00:20:35,18.51,10035.0,Australia
INV10007,P9935,They Three,19,2023-09-18 19:44:16,59.7,10058.0,Australia
INV10155,P9645,Improve Model,4,2025-03-29 18:42:11,62.12,10046.0,Netherlands
INV10545,P7455,Loss Democrat,29,2024-05-13 06:23:06,64.69,10067.0,Netherlands
INV10807,P6260,View Already,21,2024-07-16 09:19:16,8.63,10080.0,Canada
INV10485,P8777,Camera Floor,37,2024-05-14 20:21:44,54.86,10088.0,Netherlands
INV10584,P5198,Capital Any,39,2025-05-01 23:31:11,76.89,10054.0,USA
INV10785,P8078,Action Science,33,2025-01-30 11:12:04,72.19,10076.0,Germany
INV10570,P4673,Amount Morning,25,2024-09-19 21:09:09,15.75,10011.0,Netherlands
INV10477,P9702,Want Dinner,39,2025-08-02 09:28:55,67.92,10034.0,USA
INV10582,P4571,South Interview,18,2024-08-18 16:27:06,7.19,10017.0,Germany
INV10942,P5806,Serious Economic,24,2024-07-12 22:18:04,3.94,10011.0,Germany
INV10697,P3073,Fund Weight,49,2025-01-17 08:29:17,34.64,10087.0,Netherlands
INV10832,P9167,Even A,30,2024-06-21 21:12:04,48.43,10079.0,USA
INV10534,P8140,Begin Food,33,2024-03-13 06:13:00,83.44,10054.0,Netherlands
INV10587,P2876,Lot Skin,23,2025-05-23 12:39:32,18.17,10086.0,France
INV10714,P8827,Those Discuss,19,2024-04-17 15:14:21,28.96,10093.0,USA
INV10451,P1400,Lead Discuss,16,2024-12-12 00:55:15,2.03,10026.0,USA
INV10456,P8461,Four Develop,19,2023-10-07 16:11:57,48.35,10052.0,USA
INV10228,P8956,Third Church,32,2023-08-12 04:01:09,27.22,10009.0,USA
INV10859,P7807,Analysis Recently,30,2024-01-12 10:22:18,23.41,10083.0,Australia
INV10749,P8381,Quality Room,-16,2025-02-08 16:07:06,85.83,10059.0,Australia
