month,invoice_no,stock_code,description,quantity,total_sales
2024-11,INV10150,P3060,Line Range,13,502.19000000000005
2024-11,INV10777,P7594,Term Professor,11,352.99
2024-11,INV10639,P8988,Same Technology,11,181.28
2024-11,INV10891,P7274,Stock Experience,3,43.83
2024-11,INV10551,P3977,Opportunity Bank,50,933.0
2024-11,INV10354,P7755,Money Risk,49,911.4000000000001
2024-11,INV10787,P5102,Exactly Where,41,3715.83
2024-11,INV10150,P3060,Line Range,13,502.19000000000005
2024-11,INV10777,P7594,Term Professor,11,352.99
2024-11,INV10639,P8988,Same Technology,11,181.28
2024-11,INV10891,P7274,Stock Experience,3,43.83
2024-11,INV10551,P3977,Opportunity Bank,50,933.0
2024-11,INV10354,P7755,Money Risk,49,911.4000000000001
2024-11,INV10787,P5102,Exactly Where,41,3715.83
2024-11,INV10150,P3060,Line Range,13,502.19000000000005
2024-11,INV10777,P7594,Term Professor,11,352.99
2024-11,INV10639,P8988,Same Technology,11,181.28
2024-11,INV10891,P7274,Stock Experience,3,43.83
2024-11,INV10551,P3977,Opportunity Bank,50,933.0
2024-11,INV10354,P7755,Money Risk,49,911.4000000000001
2024-11,INV10787,P5102,Exactly Where,41,3715.83
2024-11,INV10150,P3060,Line Range,13,502.19000000000005
2024-11,INV10777,P7594,Term Professor,11,352.99
2024-11,INV10639,P8988,Same Technology,11,181.28
2024-11,INV10367,P4269,Sea Consumer,49,3221.75
2024-11,INV10716,P2070,Surface Hear,18,1440.72
2024-11,INV10197,P6804,Live Film,42,3407.88
2024-11,INV10863,P8483,Fire Someone,29,2547.6499999999996
2024-11,INV10214,P4006,Phone Lose,17,255.67999999999998
2024-11,INV10367,P4269,Sea Consumer,49,3221.75
2024-11,INV10716,P2070,Surface Hear,18,1440.72
2024-11,INV10197,P6804,Live Film,42,3407.88
2024-11,INV10863,P8483,Fire Someone,29,2547.6499999999996
2024-11,INV10214,P4006,Phone Lose,17,255.67999999999998
2024-11,INV10367,P4269,Sea Consumer,49,3221.75
2024-11,INV10716,P2070,Surface Hear,18,1440.72
2024-11,INV10197,P6804,Live Film,42,3407.88
2024-11,INV10863,P8483,Fire Someone,29,2547.6499999999996
2024-11,INV10214,P4006,Phone Lose,17,255.67999999999998
2024-12,INV10595,P4249,Son Prepare,35,3327.7999999999997
2024-12,INV10723,P5978,American Writer,1,19.49
2024-12,INV10249,P6138,Budget Student,20,1991.0
2024-12,INV10002,P5506,Oil Sure,15,628.35
2024-12,INV10274,P4910,Two Million,7,185.15
2024-12,INV10774,P3037,Quite Compare,32,3162.24
2024-12,INV10814,P7561,Charge Thus,4,165.68
2024-12,INV10337,P3426,Benefit Green,38,39.14
2024-12,INV10595,P4249,Son Prepare,35,3327.7999999999997
2024-12,INV10723,P5978,American Writer,1,19.49
2024-12,INV10249,P6138,Budget Student,20,1991.0
2024-12,INV10002,P5506,Oil Sure,15,628.35
2024-12,INV10274,P4910,Two Million,7,185.15
2024-12,INV10774,P3037,Quite Compare,32,3162.24
2024-12,INV10814,P7561,Charge Thus,4,165.68
2024-12,INV10337,P3426,Benefit Green,38,39.14
2024-12,INV10595,P4249,Son Prepare,35,3327.7999999999997
2024-12,INV10723,P5978,American Writer,1,19.49
2024-12,INV10249,P6138,Budget Student,20,1991.0
2024-12,INV10002,P5506,Oil Sure,15,628.35
2024-12,INV10274,P4910,Two Million,7,185.15
2024-12,INV10774,P3037,Quite Compare,32,3162.24
2024-12,INV10814,P7561,Charge Thus,4,165.68
2024-12,INV10337,P3426,Benefit Green,38,39.14
2024-12,INV10595,P4249,Son Prepare,35,3327.7999999999997
2024-12,INV10723,P5978,American Writer,1,19.49
2024-12,INV10249,P6138,Budget Student,20,1991.0
2024-12,INV10002,P5506,Oil Sure,15,628.35
2024-12,INV10274,P4910,Two Million,7,185.15
2024-12,INV10774,P3037,Quite Compare,32,3162.24
2024-12,INV10814,P7561,Charge Thus,4,165.68
2024-12,INV10337,P3426,Benefit Green,38,39.14
2024-12,INV10595,P4249,Son Prepare,35,3327.7999999999997
2024-12,INV10723,P5978,American Writer,1,19.49
2024-12,INV10249,P6138,Budget Student,20,1991.0
2024-12,INV10002,P5506,Oil Sure,15,628.35
2024-12,INV10274,P4910,Two Million,7,185.15
2024-12,INV10774,P3037,Quite Compare,32,3162.24
2024-12,INV10814,P7561,Charge Thus,4,165.68
2024-12,INV10337,P3426,Benefit Green,38,39.14
2024-12,INV10501,P9849,Whether General,21,2027.55
2024-12,INV10256,P1931,Level Play,32,2423.36
2024-12,INV10451,P1400,Lead Discuss,16,32.48
2024-12,INV10677,P4155,Indicate News,39,3095.8199999999997
2024-12,INV10495,P2269,Apply Expect,5,138.3
2024-12,INV10725,P5066,Three Feel,16,580.96
2024-12,INV10134,P9689,Prevent Big,35,412.29999999999995
2024-12,INV10897,P7246,Herself High,50,3954.5
2024-12,INV10990,P9138,Manager Note,19,1561.42
2024-12,INV10501,P9849,Whether General,21,2027.55
2024-12,INV10256,P1931,Level Play,32,2423.36
2024-12,INV10451,P1400,Lead Discuss,16,32.48
2024-12,INV10677,P4155,Indicate News,39,3095.8199999999997
2024-12,INV10495,P2269,Apply Expect,5,138.3
2024-12,INV10725,P5066,Three Feel,16,580.96
2024-12,INV10134,P9689,Prevent Big,35,412.29999999999995
2024-12,INV10897,P7246,Herself High,50,3954.5
2024-12,INV10990,P9138,Manager Note,19,1561.42
2024-12,INV10501,P9849,Whether General,21,2027.55
2024-12,INV10256,P1931,Level Play,32,2423.36
2024-12,INV10451,P1400,Lead Discuss,16,32.48
2024-12,INV10677,P4155,Indicate News,39,3095.8199999999997
2024-12,INV10495,P2269,Apply Expect,5,138.3
2024-12,INV10725,P5066,Three Feel,16,580.96
2024-12,INV10134,P9689,Prevent Big,35,412.29999999999995
2024-12,INV10897,P7246,Herself High,50,3954.5
2024-12,INV10990,P9138,Manager Note,19,1561.42
2025-01,INV10552,P1823,Relationship Range,35,135.79999999999998
2025-01,INV10029,P4527,Rule They,49,4650.59
2025-01,INV10104,P7916,Recent Personal,8,614.0
2025-01,INV10117,P5808,Onto Their,7,397.46000000000004
2025-01,INV10512,P6421,Hold Memory,31,1802.34
2025-01,INV10597,P4978,Produce National,30,1709.7
2025-01,INV10751,P5771,Official Win,33,2449.59
2025-01,INV10048,P1750,Tough Man,9,209.25
2025-01,INV10515,P7812,Want Authority,32,541.44
2025-01,INV10267,P2343,Experience Behavior,25,2436.0
2025-01,INV10508,P4505,Keep Alone,10,615.8
2025-01,INV10552,P1823,Relationship Range,35,135.79999999999998
2025-01,INV10029,P4527,Rule They,49,4650.59
2025-01,INV10104,P7916,Recent Personal,8,614.0
2025-01,INV10117,P5808,Onto Their,7,397.46000000000004
2025-01,INV10512,P6421,Hold Memory,31,1802.34
2025-01,INV10597,P4978,Produce National,30,1709.7
2025-01,INV10751,P5771,Official Win,33,2449.59
2025-01,INV10048,P1750,Tough Man,9,209.25
2025-01,INV10515,P7812,Want Authority,32,541.44
2025-01,INV10267,P2343,Experience Behavior,25,2436.0
2025-01,INV10508,P4505,Keep Alone,10,615.8
2025-01,INV10552,P1823,Relationship Range,35,135.79999999999998
2025-01,INV10029,P4527,Rule They,49,4650.59
2025-01,INV10104,P7916,Recent Personal,8,614.0
2025-01,INV10117,P5808,Onto Their,7,397.46000000000004
2025-01,INV10512,P6421,Hold Memory,31,1802.34
2025-01,INV10597,P4978,Produce National,30,1709.7
2025-01,INV10751,P5771,Official Win,33,2449.59
2025-01,INV10048,P1750,Tough Man,9,209.25
2025-01,INV10515,P7812,Want Authority,32,541.44
2025-01,INV10267,P2343,Experience Behavior,25,2436.0
2025-01,INV10508,P4505,Keep Alone,10,615.8
2025-01,INV10552,P1823,Relationship Range,35,135.79999999999998
2025-01,INV10029,P4527,Rule They,49,4650.59
2025-01,INV10104,P7916,Recent Personal,8,614.0
2025-01,INV10117,P5808,Onto Their,7,397.46000000000004
2025-01,INV10512,P6421,Hold Memory,31,1802.34
2025-01,INV10597,P4978,Produce National,30,1709.7
2025-01,INV10751,P5771,Official Win,33,2449.59
2025-01,INV10048,P1750,Tough Man,9,209.25
2025-01,INV10515,P7812,Want Authority,32,541.44
2025-01,INV10267,P2343,Experience Behavior,25,2436.0
2025-01,INV10508,P4505,Keep Alone,10,615.8
2025-01,INV10552,P1823,Relationship Range,35,135.79999999999998
2025-01,INV10029,P4527,Rule They,49,4650.59
2025-01,INV10104,P7916,Recent Personal,8,614.0
2025-01,INV10117,P5808,Onto Their,7,397.46000000000004
2025-01,INV10512,P6421,Hold Memory,31,1802.34
2025-01,INV10597,P4978,Produce National,30,1709.7
2025-01,INV10751,P5771,Official Win,33,2449.59
2025-01,INV10048,P1750,Tough Man,9,209.25
2025-01,INV10515,P7812,Want Authority,32,541.44
2025-01,INV10267,P2343,Experience Behavior,25,2436.0
2025-01,INV10508,P4505,Keep Alone,10,615.8
2025-01,INV10625,P5397,Discuss Outside,36,3324.2400000000002
2025-01,INV10356,P3938,Kid Practice,44,2736.3599999999997
2025-01,INV10806,P6460,Approach Improve,17,139.23
2025-01,INV10512,P6421,Write Black,31,1802.34
2025-01,INV10322,P1722,Per Open,21,2001.93
2025-01,INV10037,P5333,Prevent Lose,3,212.49
2025-01,INV10103,P3621,Old Response,44,2877.6000000000004
2025-01,INV10625,P5397,Discuss Outside,36,3324.2400000000002
2025-01,INV10356,P3938,Kid Practice,44,2736.3599999999997
2025-01,INV10806,P6460,Approach Improve,17,139.23
2025-01,INV10512,P6421,Write Black,31,1802.34
2025-01,INV10322,P1722,Per Open,21,2001.93
2025-01,INV10037,P5333,Prevent Lose,3,212.49
2025-01,INV10103,P3621,Old Response,44,2877.6000000000004
2025-01,INV10625,P5397,Discuss Outside,36,3324.2400000000002
2025-01,INV10356,P3938,Kid Practice,44,2736.3599999999997
2025-01,INV10806,P6460,Approach Improve,17,139.23
2025-01,INV10512,P6421,Write Black,31,1802.34
2025-01,INV10322,P1722,Per Open,21,2001.93
2025-01,INV10037,P5333,Prevent Lose,3,212.49
2025-01,INV10103,P3621,Old Response,44,2877.6000000000004
2025-02,INV10049,P4733,Speech Pay,26,489.32
2025-02,INV10915,P8692,Wide Me,14,345.09999999999997
2025-02,INV10718,P9056,Guess Yeah,41,1874.52
2025-02,INV10446,P4848,Smile Middle,32,2879.68
2025-02,INV10038,P1711,Here There,37,1672.03
2025-02,INV10103,P3621,Until Particular,44,2877.6000000000004
2025-02,INV10246,P1958,Store Member,16,98.88
2025-02,INV10134,P9689,North Great,35,412.29999999999995
2025-02,INV10062,P5374,Media Interesting,50,2632.5
2025-02,INV10049,P4733,Speech Pay,26,489.32
2025-02,INV10915,P8692,Wide Me,14,345.09999999999997
2025-02,INV10718,P9056,Guess Yeah,41,1874.52
2025-02,INV10446,P4848,Smile Middle,32,2879.68
2025-02,INV10038,P1711,Here There,37,1672.03
2025-02,INV10103,P3621,Until Particular,44,2877.6000000000004
2025-02,INV10246,P1958,Store Member,16,98.88
2025-02,INV10134,P9689,North Great,35,412.29999999999995
2025-02,INV10062,P5374,Media Interesting,50,2632.5
2025-02,INV10049,P4733,Speech Pay,26,489.32
2025-02,INV10915,P8692,Wide Me,14,345.09999999999997
2025-02,INV10718,P9056,Guess Yeah,41,1874.52
2025-02,INV10446,P4848,Smile Middle,32,2879.68
2025-02,INV10038,P1711,Here There,37,1672.03
2025-02,INV10103,P3621,Until Particular,44,2877.6000000000004
2025-02,INV10246,P1958,Store Member,16,98.88
2025-02,INV10134,P9689,North Great,35,412.29999999999995
2025-02,INV10062,P5374,Media Interesting,50,2632.5
2025-02,INV10049,P4733,Speech Pay,26,489.32
2025-02,INV10915,P8692,Wide Me,14,345.09999999999997
2025-02,INV10718,P9056,Guess Yeah,41,1874.52
2025-02,INV10446,P4848,Smile Middle,32,2879.68
2025-02,INV10038,P1711,Here There,37,1672.03
2025-02,INV10103,P3621,Until Particular,44,2877.6000000000004
2025-02,INV10246,P1958,Store Member,16,98.88
2025-02,INV10134,P9689,North Great,35,412.29999999999995
2025-02,INV10062,P5374,Media Interesting,50,2632.5
2025-02,INV10049,P4733,Speech Pay,26,489.32
2025-02,INV10915,P8692,Wide Me,14,345.09999999999997
2025-02,INV10718,P9056,Guess Yeah,41,1874.52
2025-02,INV10446,P4848,Smile Middle,32,2879.68
2025-02,INV10038,P1711,Here There,37,1672.03
2025-02,INV10103,P3621,Until Particular,44,2877.6000000000004
2025-02,INV10246,P1958,Store Member,16,98.88
2025-02,INV10134,P9689,North Great,35,412.29999999999995
2025-02,INV10062,P5374,Media Interesting,50,2632.5
2025-02,INV10552,P1823,What Follow,35,135.79999999999998
2025-02,INV10029,P4527,Head Great,49,4650.59
2025-02,INV10165,P8397,They Return,13,1072.37
2025-02,INV10912,P7717,Available Position,46,227.24
2025-02,INV10431,P4443,Simply Up,49,2516.15
2025-02,INV10667,P6632,Avoid When,17,54.06
2025-02,INV10438,P9375,Who Expect,8,289.04
2025-02,INV10791,P1339,Than Film,48,2117.7599999999998
2025-02,INV10508,P4505,Worker Democrat,10,615.8
2025-02,INV10552,P1823,What Follow,35,135.79999999999998
2025-02,INV10029,P4527,Head Great,49,4650.59
2025-02,INV10165,P8397,They Return,13,1072.37
2025-02,INV10912,P7717,Available Position,46,227.24
2025-02,INV10431,P4443,Simply Up,49,2516.15
2025-02,INV10667,P6632,Avoid When,17,54.06
2025-02,INV10438,P9375,Who Expect,8,289.04
2025-02,INV10791,P1339,Than Film,48,2117.7599999999998
2025-02,INV10508,P4505,Worker Democrat,10,615.8
2025-02,INV10552,P1823,What Follow,35,135.79999999999998
2025-02,INV10029,P4527,Head Great,49,4650.59
2025-02,INV10165,P8397,They Return,13,1072.37
2025-02,INV10912,P7717,Available Position,46,227.24
2025-02,INV10431,P4443,Simply Up,49,2516.15
2025-02,INV10667,P6632,Avoid When,17,54.06
2025-02,INV10438,P9375,Who Expect,8,289.04
2025-02,INV10791,P1339,Than Film,48,2117.7599999999998
2025-02,INV10508,P4505,Worker Democrat,10,615.8
2025-03,INV10066,P5010,Certainly Cultural,6,84.84
2025-03,INV10210,P9786,Space Recognize,3,192.48
2025-03,INV10583,P8619,Sense Action,49,3936.6600000000003
2025-03,INV10396,P9379,Actually Clear,40,1004.0
2025-03,INV10806,P6460,Animal Positive,17,139.23
2025-03,INV10295,P5669,Measure Tough,33,1883.97
2025-03,INV10897,P7246,Himself Coach,50,3954.5
2025-03,INV10066,P5010,Certainly Cultural,6,84.84
2025-03,INV10210,P9786,Space Recognize,3,192.48
2025-03,INV10583,P8619,Sense Action,49,3936.6600000000003
2025-03,INV10396,P9379,Actually Clear,40,1004.0
2025-03,INV10806,P6460,Animal Positive,17,139.23
2025-03,INV10295,P5669,Measure Tough,33,1883.97
2025-03,INV10897,P7246,Himself Coach,50,3954.5
2025-03,INV10066,P5010,Certainly Cultural,6,84.84
2025-03,INV10210,P9786,Space Recognize,3,192.48
2025-03,INV10583,P8619,Sense Action,49,3936.6600000000003
2025-03,INV10396,P9379,Actually Clear,40,1004.0
2025-03,INV10806,P6460,Animal Positive,17,139.23
2025-03,INV10295,P5669,Measure Tough,33,1883.97
2025-03,INV10897,P7246,Himself Coach,50,3954.5
2025-03,INV10066,P5010,Certainly Cultural,6,84.84
2025-03,INV10210,P9786,Space Recognize,3,192.48
2025-03,INV10583,P8619,Sense Action,49,3936.6600000000003
2025-03,INV10396,P9379,Actually Clear,40,1004.0
2025-03,INV10806,P6460,Animal Positive,17,139.23
2025-03,INV10295,P5669,Measure Tough,33,1883.97
2025-03,INV10897,P7246,Himself Coach,50,3954.5
2025-03,INV10066,P5010,Certainly Cultural,6,84.84
2025-03,INV10210,P9786,Space Recognize,3,192.48
2025-03,INV10583,P8619,Sense Action,49,3936.6600000000003
2025-03,INV10396,P9379,Actually Clear,40,1004.0
2025-03,INV10806,P6460,Animal Positive,17,139.23
2025-03,INV10295,P5669,Measure Tough,33,1883.97
2025-03,INV10897,P7246,Himself Coach,50,3954.5
2025-03,INV10595,P4249,Identify Member,35,3327.7999999999997
2025-03,INV10835,P4335,Fine Region,48,177.12
2025-03,INV10003,P5012,Area Allow,43,337.12
2025-03,INV10915,P8692,Usually Product,14,345.09999999999997
2025-03,INV10914,P2225,Source Eye,49,4450.67
2025-03,INV10811,P7744,Sing Dream,1,36.68
2025-03,INV10170,P6539,Almost Doctor,2,38.54
2025-03,INV10460,P9099,Memory Sell,26,1246.96
2025-03,INV10200,P8651,Modern Physical,15,644.55
2025-03,INV10595,P4249,Identify Member,35,3327.7999999999997
2025-03,INV10835,P4335,Fine Region,48,177.12
2025-03,INV10003,P5012,Area Allow,43,337.12
2025-03,INV10915,P8692,Usually Product,14,345.09999999999997
2025-03,INV10914,P2225,Source Eye,49,4450.67
2025-03,INV10811,P7744,Sing Dream,1,36.68
2025-03,INV10170,P6539,Almost Doctor,2,38.54
2025-03,INV10460,P9099,Memory Sell,26,1246.96
2025-03,INV10200,P8651,Modern Physical,15,644.55
2025-03,INV10595,P4249,Identify Member,35,3327.7999999999997
2025-03,INV10835,P4335,Fine Region,48,177.12
2025-03,INV10003,P5012,Area Allow,43,337.12
2025-03,INV10915,P8692,Usually Product,14,345.09999999999997
2025-03,INV10914,P2225,Source Eye,49,4450.67
2025-03,INV10811,P7744,Sing Dream,1,36.68
2025-03,INV10170,P6539,Almost Doctor,2,38.54
2025-03,INV10460,P9099,Memory Sell,26,1246.96
2025-03,INV10200,P8651,Modern Physical,15,644.55
2025-04,INV10996,P5106,Economic Admit,34,3097.3999999999996
2025-04,INV10209,P4116,Focus Reveal,2,42.82
2025-04,INV10451,P1400,Mind Particularly,16,32.48
2025-04,INV10019,P7873,Current Need,44,1076.6799999999998
2025-04,INV10503,P3267,Reduce Hour,36,573.12
2025-04,INV10438,P9375,Process How,8,289.04
2025-04,INV10733,P5871,Government Box,38,1721.7800000000002
2025-04,INV10996,P5106,Economic Admit,34,3097.3999999999996
2025-04,INV10209,P4116,Focus Reveal,2,42.82
2025-04,INV10451,P1400,Mind Particularly,16,32.48
2025-04,INV10019,P7873,Current Need,44,1076.6799999999998
2025-04,INV10503,P3267,Reduce Hour,36,573.12
2025-04,INV10438,P9375,Process How,8,289.04
2025-04,INV10733,P5871,Government Box,38,1721.7800000000002
2025-04,INV10996,P5106,Economic Admit,34,3097.3999999999996
2025-04,INV10209,P4116,Focus Reveal,2,42.82
2025-04,INV10451,P1400,Mind Particularly,16,32.48
2025-04,INV10019,P7873,Current Need,44,1076.6799999999998
2025-04,INV10503,P3267,Reduce Hour,36,573.12
2025-04,INV10438,P9375,Process How,8,289.04
2025-04,INV10733,P5871,Government Box,38,1721.7800000000002
2025-04,INV10996,P5106,Economic Admit,34,3097.3999999999996
2025-04,INV10209,P4116,Focus Reveal,2,42.82
2025-04,INV10451,P1400,Mind Particularly,16,32.48
2025-04,INV10019,P7873,Current Need,44,1076.6799999999998
2025-04,INV10503,P3267,Reduce Hour,36,573.12
2025-04,INV10438,P9375,Process How,8,289.04
2025-04,INV10733,P5871,Government Box,38,1721.7800000000002
2025-04,INV10996,P5106,Economic Admit,34,3097.3999999999996
2025-04,INV10209,P4116,Focus Reveal,2,42.82
2025-04,INV10451,P1400,Mind Particularly,16,32.48
2025-04,INV10019,P7873,Current Need,44,1076.6799999999998
2025-04,INV10503,P3267,Reduce Hour,36,573.12
2025-04,INV10438,P9375,Process How,8,289.04
2025-04,INV10733,P5871,Government Box,38,1721.7800000000002
2025-04,INV10558,P6355,Stay Treat,26,1339.0
2025-04,INV10533,P5471,Identify East,33,2777.2799999999997
2025-04,INV10581,P2874,Oil Yes,36,1359.72
2025-04,INV10948,P9702,Citizen Student,3,118.80000000000001
2025-04,INV10558,P6355,Stay Treat,26,1339.0
2025-04,INV10533,P5471,Identify East,33,2777.2799999999997
2025-04,INV10581,P2874,Oil Yes,36,1359.72
2025-04,INV10948,P9702,Citizen Student,3,118.80000000000001
2025-04,INV10558,P6355,Stay Treat,26,1339.0
2025-04,INV10533,P5471,Identify East,33,2777.2799999999997
2025-04,INV10581,P2874,Oil Yes,36,1359.72
2025-04,INV10948,P9702,Citizen Student,3,118.80000000000001
2025-05,INV10575,P4266,President Share,9,744.21
2025-05,INV10835,P4335,Speak Off,48,177.12
2025-05,INV10677,P4155,Hand Hear,39,3095.8199999999997
2025-05,INV10855,P9165,Oil Campaign,38,2171.7
2025-05,INV10032,P2519,Score Itself,28,1079.68
2025-05,INV10575,P4266,President Share,9,744.21
2025-05,INV10835,P4335,Speak Off,48,177.12
2025-05,INV10677,P4155,Hand Hear,39,3095.8199999999997
2025-05,INV10855,P9165,Oil Campaign,38,2171.7
2025-05,INV10032,P2519,Score Itself,28,1079.68
2025-05,INV10575,P4266,President Share,9,744.21
2025-05,INV10835,P4335,Speak Off,48,177.12
2025-05,INV10677,P4155,Hand Hear,39,3095.8199999999997
2025-05,INV10855,P9165,Oil Campaign,38,2171.7
2025-05,INV10032,P2519,Score Itself,28,1079.68
2025-05,INV10575,P4266,President Share,9,744.21
2025-05,INV10835,P4335,Speak Off,48,177.12
2025-05,INV10677,P4155,Hand Hear,39,3095.8199999999997
2025-05,INV10855,P9165,Oil Campaign,38,2171.7
2025-05,INV10032,P2519,Score Itself,28,1079.68
2025-05,INV10575,P4266,President Share,9,744.21
